imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu2_acc_x,imu2_acc_y,imu2_acc_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu3_acc_x,imu3_acc_y,imu3_acc_z,imu3_gyro_x,imu3_gyro_y,imu3_gyro_z,imu4_acc_x,imu4_acc_y,imu4_acc_z,imu4_gyro_x,imu4_gyro_y,imu4_gyro_z,imu5_acc_x,imu5_acc_y,imu5_acc_z,imu5_gyro_x,imu5_gyro_y,imu5_gyro_z,imu6_acc_x,imu6_acc_y,imu6_acc_z,imu6_gyro_x,imu6_gyro_y,imu6_gyro_z,imu7_acc_x,imu7_acc_y,imu7_acc_z,imu7_gyro_x,imu7_gyro_y,imu7_gyro_z,imu8_acc_x,imu8_acc_y,imu8_acc_z,imu8_gyro_x,imu8_gyro_y,imu8_gyro_z,imu9_acc_x,imu9_acc_y,imu9_acc_z,imu9_gyro_x,imu9_gyro_y,imu9_gyro_z,imu10_acc_x,imu10_acc_y,imu10_acc_z,imu10_gyro_x,imu10_gyro_y,imu10_gyro_z,stroke_label,head_x,head_y,stroke_prob
-1.009,0.189,-0.166,0.145,-0.267,0.485,-0.028,0.555,-0.29,0.526,-1.888,-1.698,0.579,-0.282,-0.085,0.499,0.199,0.528,-0.399,-0.236,-1.375,-0.909,1.398,-0.207,0.572,0.437,-0.662,0.988,1.509,-1.047,-0.033,-2.077,-1.341,-0.169,-1.532,0.21,1.673,-0.925,0.11,0.225,0.008,0.548,0.821,-1.249,-1.476,1.565,-0.073,0.34,-0.881,-0.162,-0.536,1.47,-0.086,-0.887,-1.255,-1.17,-0.494,1.552,-0.469,0.221,Breaststroke,1140,608,0.686
0.36,-0.111,-0.623,-1.31,-0.549,-0.946,0.262,1.669,-0.702,-0.099,-0.651,0.131,0.481,0.371,-0.847,0.109,0.153,-1.361,-2.34,1.073,0.34,0.867,0.433,-0.103,1.488,-0.589,1.123,-0.305,-1.37,-0.619,-0.363,0.469,-1.44,0.978,-0.019,-0.807,-0.673,-0.966,-0.612,-0.565,-0.299,0.475,0.81,-0.265,-0.881,0.309,-1.875,-0.319,-2.453,2.28,-0.597,-0.961,0.738,-0.123,0.355,-0.657,-1.544,-0.332,0.429,-0.195,Backstroke,1480,799,0.712
-0.2,0.424,0.066,-0.063,-0.85,0.583,0.217,-0.357,-1.438,0.402,2.121,-1.893,-0.118,0.137,2.006,-0.103,0.398,-0.121,0.862,0.196,0.064,-1.024,-0.734,-0.047,-0.261,1.147,2.043,-0.634,1.358,0.862,-0.601,-1.323,0.042,-2.084,0.682,-1.129,-0.729,0.147,-0.015,0.02,1.079,-2.174,-0.805,-1.328,0.384,0.605,-0.18,-1.359,1.012,1.856,-0.804,0.1,2.054,0.29,0.54,-0.406,0.054,-0.015,-0.09,-0.069,Backstroke,1567,801,0.492
-0.064,0.036,0.319,0.518,-1.257,0.523,-0.261,0.027,0.98,0.739,0.245,-1.152,-0.928,-0.81,0.054,-0.623,-0.614,0.825,0.544,1.173,0.776,1.796,-1.27,-0.989,0.155,-0.533,0.234,-0.097,-0.861,1.191,1.332,-0.143,-0.105,0.967,1.647,-0.323,-0.314,-0.625,-1.311,1.155,0.052,1.72,-0.631,0.718,-0.678,1.613,0.144,1.84,-1.298,-0.873,0.147,-0.923,1.98,-2.253,0.267,0.228,-2.701,2.32,0.744,-0.619,Breaststroke,1130,238,0.583
0.795,1.26,0.632,-0.663,1.06,-0.356,-0.706,-0.989,-0.148,0.194,-0.264,0.752,0.333,-1.123,-0.032,0.843,-0.115,-0.861,1.693,-1.02,-0.313,-0.542,0.435,0.653,-0.804,-1.641,0.132,1.432,-1.009,1.587,-0.212,0.498,-0.046,-1.025,-1.324,0.33,-0.71,-0.134,1.282,-0.686,-1.603,0.885,0.214,-0.807,-0.407,-0.811,0.48,-0.591,-0.351,-1.11,1.433,-0.015,-1.577,0.629,0.118,1.133,0.484,0.55,0.305,0.865,Breaststroke,976,539,0.036
-1.695,-1.225,-0.041,-1.601,-1.35,0.345,0.759,-0.165,-0.309,0.73,0.854,0.144,0.508,-1.098,0.91,-1.02,0.522,-0.427,-0.485,0.803,0.665,1.623,0.962,-0.284,0.149,-1.102,1.001,-0.873,1.123,0.315,-0.955,-1.131,-0.126,-0.472,1.273,0.75,1.942,0.948,-1.445,0.947,1.795,-0.142,-0.578,-0.767,0.502,-0.373,1.727,0.63,-1.185,-0.27,-0.147,0.184,-1.438,-0.702,-1.179,-0.636,0.418,1.279,0.212,0.68,Front Crawl,506,995,0.647
0.971,-0.463,-0.105,1.806,-0.418,0.287,0.605,-1.705,0.537,-0.269,0.466,0.994,1.295,-1.041,1.203,-1.278,-1.256,-2.254,-1.654,0.166,-0.63,-1.017,0.99,-1.47,-1.522,0.443,-0.705,0.777,2.628,-0.587,-0.383,-1.418,0.94,-0.163,-0.084,0.981,0.325,-0.012,0.339,0.356,-1.49,1.783,2.039,-0.014,1.266,-0.706,-1.572,0.986,-1.116,-0.573,-0.299,0.317,0.159,1.433,0.623,-0.218,-1.053,0.168,-0.593,-0.736,Freestyle,967,191,0.34
-0.536,1.202,-1.739,0.028,-0.807,0.823,-0.228,0.921,-0.917,0.813,0.807,-0.172,1.435,-0.247,-0.714,0.384,0.417,-0.019,-0.63,0.967,0.948,-0.151,2.521,0.648,0.186,-0.701,-0.409,1.137,-0.927,-0.609,0.477,0.324,-0.554,-0.3,0.213,-0.053,-0.368,-0.865,0.519,0.812,0.02,-0.994,0.018,1.156,-1.071,-0.928,1.09,-0.748,0.757,-0.275,1.018,1.749,-0.567,-0.18,1.222,-1.268,1.235,-1.41,-2.065,-0.387,Breaststroke,1504,307,0.295
0.866,0.635,-0.081,0.805,0.201,-0.094,-0.647,0.848,-0.288,-0.886,0.388,-1.255,1.099,-0.525,-0.841,-1.368,0.423,-1.092,0.297,1.076,1.949,0.644,0.971,-1.239,-0.154,0.072,-1.522,0.027,-2.239,-0.481,0.416,0.432,-0.254,0.826,1.248,-0.98,-0.932,-0.024,1.279,-0.51,0.407,-0.248,-1.29,0.707,-0.528,2.118,0.825,-1.198,-0.827,0.354,-0.712,0.405,-0.789,-0.742,0.227,-0.327,-2.462,-0.612,1.131,0.236,Backstroke,367,177,0.457
0.099,0.577,0.787,-0.73,0.168,-0.096,-0.202,-0.315,-1.423,0.849,1.515,0.24,0.637,-0.2,-0.058,2.538,-0.468,0.908,0.12,0.869,0.973,0.194,0.108,0.777,-0.03,0.454,2.94,-0.489,0.589,1.14,-0.784,0.235,0.464,-1.601,-0.086,-2.95,-1.348,1.691,0.146,0.085,-1.529,0.398,0.045,-0.578,0.983,-0.019,-0.829,-0.205,-2.054,0.387,0.737,1.623,2.125,-0.397,-1.581,-0.804,-0.61,2.298,0.183,-1.294,Backstroke,345,611,0.496
-0.153,-0.598,-1.027,0.921,-0.869,0.627,-0.1,-0.739,-1.048,1.011,1.177,-0.719,-1.322,-0.564,-0.371,0.736,-1.043,-1.779,1.195,0.255,-0.777,-0.203,-0.382,-0.443,-0.87,0.071,0.817,-0.282,0.426,0.008,1.692,0.857,1.888,-1.021,0.745,-0.348,0.153,-0.296,-0.045,-0.994,0.123,-0.444,-1.093,0.762,1.335,0.141,1.94,-1.691,0.01,2.207,-1.365,1.497,-1.501,-0.387,-0.319,0.24,0.935,0.565,-0.4,0.624,Breaststroke,1871,695,0.778
-1.424,1.223,1.412,1.421,0.62,0.854,-0.122,2.389,1.127,-0.811,0.434,-1.949,-0.545,-2.019,1.233,0.123,-0.504,0.179,0.712,0.21,-0.773,-0.134,-0.271,0.022,0.364,-0.517,0.401,1.239,1.984,-0.897,0.906,1.351,-0.808,-0.918,0.554,1.068,-0.01,0.486,-0.024,0.292,0.744,-2.801,-0.071,1.115,0.201,-0.788,-0.316,0.743,-0.373,1.8,1.029,0.503,-1.088,-0.545,1.147,-0.824,-0.209,0.038,-0.874,1.473,Butterfly,376,439,0.185
0.73,1.67,0.199,0.46,-0.181,1.606,-0.221,-0.196,-1.326,-0.689,0.351,-0.285,-1.227,-0.12,-0.614,0.198,-1.222,0.263,-1.691,-0.166,-0.128,-0.319,0.551,-0.869,-0.32,0.752,-0.129,-0.577,-0.199,0.516,0.62,-0.906,0.383,-0.325,0.426,-0.643,0.024,0.013,-0.827,0.097,-0.313,0.38,-0.439,1.731,-0.699,1.762,-0.025,-0.573,1.052,0.347,-0.152,-1.728,0.937,0.037,-1.15,-0.769,0.096,-2.415,0.602,0.614,Freestyle,956,815,0.483
-0.184,-0.534,-0.477,0.315,-0.604,-1.653,1.594,0.297,0.379,-1.169,-1.655,-1.656,-1.472,0.688,-0.563,-0.984,-0.038,0.842,0.656,1.905,-0.681,-1.234,-0.551,1.38,0.127,-0.1,1.468,1.398,0.071,1.434,2.968,-0.869,-0.819,-0.189,0.642,-0.561,-0.158,-2.298,-1.283,-0.247,-0.192,-1.421,-1.308,-1.203,0.807,-0.275,-0.153,-1.062,-1.583,-0.184,-1.168,0.452,-0.267,0.201,-0.666,1.183,-1.532,0.286,1.488,0.612,Butterfly,1231,1021,0.756
1.098,-1.086,-0.405,1.935,0.822,-0.007,0.218,1.173,-1.549,1.678,-0.525,1.882,-1.0,2.051,0.383,-0.463,-0.726,-0.81,1.542,0.276,-0.657,0.582,0.852,1.026,1.456,0.492,0.598,-1.072,0.97,-0.39,-0.81,0.01,-0.963,0.401,-0.739,2.108,0.416,1.526,0.488,0.802,0.086,0.574,1.229,-1.199,-1.276,0.355,0.59,-0.65,-0.359,0.745,-1.818,-1.169,0.066,0.207,0.559,-2.18,-0.15,-0.634,0.062,-0.004,Front Crawl,423,717,0.844
-0.515,-0.328,1.295,0.705,1.672,-1.863,-2.673,-0.797,-0.578,-1.021,-0.598,-0.928,-0.71,0.771,2.091,0.959,-0.081,-0.096,-0.424,-1.006,0.376,-0.107,-1.075,0.014,-0.361,0.214,-0.505,1.3,1.82,-0.125,0.73,0.626,-1.879,0.215,-0.677,-0.466,-0.639,1.398,-0.536,1.959,0.418,1.273,-0.232,0.253,-2.759,-0.717,0.028,-0.072,0.484,1.31,-1.033,-0.003,-2.313,0.632,1.666,2.635,-0.34,1.672,-0.533,2.238,Freestyle,978,273,0.263
1.008,-1.648,0.888,0.584,1.598,1.014,-0.7,1.226,2.329,-0.286,-0.283,1.802,0.77,-1.059,2.19,0.255,1.33,1.884,1.128,-0.121,0.272,0.406,-0.025,0.91,2.022,0.334,-0.774,-1.292,1.497,-0.464,-0.936,-0.132,0.271,-1.685,2.269,0.917,-0.897,0.842,-0.895,-0.221,-1.391,0.602,-1.788,-0.116,0.203,-0.384,-0.099,2.71,1.405,-0.27,0.951,0.842,-0.803,-0.909,-0.395,-1.509,1.352,1.04,-0.627,-0.133,Front Crawl,387,916,0.518
-1.233,0.141,0.21,0.909,1.39,0.541,-0.944,-1.266,-0.837,-0.676,1.342,1.675,-1.073,1.149,-1.818,-0.585,0.455,0.52,1.187,-0.803,-1.142,-1.188,-0.945,0.314,1.085,1.408,-1.952,-1.19,-0.087,0.555,-0.526,1.626,-2.1,-1.059,-0.601,-0.579,-1.653,0.734,0.199,0.68,-1.687,-1.104,0.589,-0.357,0.209,1.331,-0.226,0.814,-0.82,-0.769,-0.346,0.766,-0.985,-1.598,1.413,-1.793,-0.232,1.019,1.985,-0.358,Front Crawl,219,734,0.386
0.586,-0.518,1.469,0.702,-0.731,0.807,-0.019,-0.725,-1.752,1.222,-1.196,0.029,-2.149,-0.559,0.282,0.844,-0.025,-0.117,0.296,0.364,-1.376,0.742,0.094,1.34,0.432,-0.237,-1.048,1.76,-2.063,-0.423,-1.058,0.336,2.005,-0.553,-1.498,-0.435,-0.554,-0.415,0.8,0.56,0.93,-0.172,0.661,-0.152,0.148,0.243,1.447,-0.016,-0.063,0.955,-0.371,0.683,0.336,-1.276,-0.21,0.444,-0.48,1.378,-0.775,-0.733,Butterfly,723,544,0.755
0.351,-2.11,-0.069,0.106,1.166,0.417,2.599,2.361,0.515,-0.086,0.744,-0.956,1.232,-0.109,-0.967,-1.649,-0.566,-0.809,0.665,1.19,1.868,-0.412,0.179,-0.953,-0.192,-1.814,0.771,1.158,-0.899,0.148,-0.746,2.624,-0.397,0.052,-1.831,-0.276,0.095,-0.0,-0.206,-1.77,-1.144,-1.426,0.414,-1.201,-1.95,-0.424,-0.876,0.507,2.117,1.304,1.341,0.124,-1.002,-1.317,1.178,-0.906,-0.645,1.257,-2.455,-0.672,Freestyle,875,448,0.859
-0.902,-1.125,-0.56,-0.82,0.239,1.617,1.437,-1.332,-0.217,-0.389,1.177,0.113,0.755,0.119,-1.369,-1.456,0.07,0.868,1.171,-0.763,1.652,-0.558,-0.728,-1.008,0.549,1.882,1.811,-1.386,-0.569,0.069,1.888,-1.196,-0.842,-0.584,1.225,0.465,0.178,-1.04,1.59,1.443,0.63,-0.7,0.715,0.432,-0.761,0.792,0.063,-1.061,-0.55,0.187,0.47,1.673,-0.465,-0.772,1.008,-0.053,-1.306,-1.777,0.678,1.484,Butterfly,261,433,0.554
0.537,-0.443,-1.485,1.151,0.676,-0.084,1.1,0.181,1.572,-0.858,-0.536,1.691,0.896,0.417,0.261,-1.694,0.402,0.253,-0.249,-0.5,-2.023,-0.124,1.097,-0.035,0.057,-0.373,-0.797,-0.23,-0.703,-0.86,1.538,0.713,-0.477,1.039,1.053,-1.356,-1.878,1.6,-0.3,-0.258,0.696,0.03,1.472,-0.113,0.002,0.856,-0.85,1.148,0.287,-0.648,-0.838,-2.589,-0.738,-0.826,-1.307,-0.952,-0.075,2.106,-0.612,-0.121,Front Crawl,1459,595,0.812
-0.231,-0.086,-0.585,0.048,-0.129,0.025,-1.871,0.212,-0.209,-1.157,-0.224,2.152,-0.834,-0.4,0.503,1.591,-0.32,-0.854,-0.497,0.231,2.801,-0.159,0.12,-0.088,-0.458,0.437,1.671,0.312,-2.574,-0.026,1.35,0.178,-0.227,0.108,0.338,0.408,0.653,-1.262,-1.588,-1.039,-1.098,-0.323,-0.916,-0.453,1.113,-0.361,-2.081,0.384,-1.297,1.339,0.946,-0.915,-0.841,-0.035,0.224,-0.057,0.881,0.848,0.173,1.102,Front Crawl,921,214,0.653
-0.396,0.954,0.995,0.336,-0.647,-1.641,-1.381,-1.245,-0.739,-1.413,-0.57,0.068,1.177,-0.191,0.99,0.992,-0.911,-1.241,0.695,0.711,1.265,0.578,-0.093,1.334,-0.285,0.886,-1.576,1.077,-1.157,0.893,1.343,0.292,0.71,-0.114,-0.903,0.038,1.682,-0.565,-0.225,-0.623,-0.493,0.776,-0.107,-0.074,-0.638,-0.36,0.326,-1.162,-0.28,-1.144,-0.081,0.235,-1.213,-0.371,-0.452,0.656,-0.607,0.154,1.121,0.282,Freestyle,1080,553,0.605
0.019,-0.866,0.34,-0.305,0.232,0.762,0.059,-0.218,0.346,0.378,1.755,1.368,-0.664,0.228,0.618,1.013,1.489,-1.811,-0.402,-1.52,-1.013,-0.989,-0.81,0.029,0.792,0.122,-0.093,-0.174,0.205,-0.037,-1.37,0.113,0.655,0.765,0.265,-0.331,-0.002,0.135,-0.365,-0.296,-0.253,0.402,0.568,-0.302,0.461,0.766,-2.34,-0.062,1.747,-0.626,1.184,1.092,-0.052,-1.33,0.886,-0.124,1.905,0.68,-0.614,0.128,Backstroke,550,1074,0.478
-1.274,-0.574,-0.926,-1.476,-0.027,-0.506,-0.134,-2.128,-0.261,-0.232,-0.25,1.298,-0.82,0.527,1.258,-0.724,1.224,0.415,-0.101,-1.027,1.936,0.537,-0.605,-1.209,-2.578,0.454,0.991,-0.829,0.821,0.266,-0.265,0.794,0.556,-0.223,0.82,-0.943,-1.384,-2.744,0.37,-0.688,0.155,0.056,-0.26,0.016,-0.358,-0.797,1.106,-1.688,1.358,-0.547,1.872,-0.604,1.674,1.814,-0.653,-0.468,-1.198,0.947,0.282,-0.572,Freestyle,828,907,0.55
-0.722,-1.312,-0.975,-0.914,0.803,0.234,-0.007,0.514,0.016,-0.893,-1.101,1.033,-0.003,-0.095,-2.709,-0.373,0.158,0.763,0.484,-0.156,0.989,1.646,0.577,-0.248,-0.215,0.208,1.842,-2.169,0.132,0.096,-0.671,0.781,0.003,0.599,-0.25,-0.089,-2.307,0.147,0.755,0.547,-0.782,0.922,-0.063,1.315,-0.919,-0.263,1.129,-0.457,-0.307,-1.282,1.176,-0.023,0.985,0.067,0.353,0.705,-0.48,-1.547,-0.449,0.654,Butterfly,1228,1054,0.494
-1.139,-0.058,0.781,2.315,-1.766,-0.005,0.317,0.766,-1.159,-0.093,1.282,0.099,1.41,-0.047,-0.157,0.729,1.065,0.796,1.384,-0.016,0.736,-1.557,-2.444,0.0,-0.194,0.894,-0.975,-0.592,1.082,2.645,0.265,0.528,-1.32,-0.472,-0.376,-0.429,0.022,0.324,-1.76,2.012,-1.145,0.746,-0.783,-1.213,0.765,2.209,-0.237,-1.665,0.555,-0.278,0.08,-1.017,0.314,0.044,0.708,1.012,-1.414,-1.993,-0.734,1.717,Backstroke,1694,275,0.852
